game,file,title,ls,le,d,decoded_samples,full_samples,len_diff,jump,best_k,residual
th123,st36.ogg,空に浮かぶ物体Ｘ,36.68349206349206,58.62596371882086,62.42176870748299,2752800,2752800,0,814,-608,79
th123,st40.ogg,二色蓮花蝶　～ Ancients,2.8605215419501135,94.06049886621315,105.62666666666667,4658136,4658136,0,2036,749,97
th123,st41.ogg,恋色マジック,11.178321995464852,102.03537414965986,105.51043083900227,4653010,4653010,0,758,1966,80
th123,st42.ogg,the Grimoire of Alice,13.954897959183674,101.84215419501133,108.54185941043085,4786696,4786696,0,1290,469,85
th123,st43.ogg,ヴワル魔法図書館,17.34827664399093,91.6346485260771,95.33179138321995,4204132,4204132,0,10008,125,397
th123,st99.ogg,東方妖恋談 (世紀末バージョン),6.60891156462585,40.894716553287985,43.73111111111111,1928542,1928542,0,1939,-187,17
th135,reimu1.ogg,春色小径　～ Colorful Path,6.794648526077098,110.94532879818594,117.51918367346939,5182596,5182596,0,4873,-1155,37
th135,marisa1.ogg,メイガスナイト,5.631496598639456,125.63149659863946,132.90068027210884,5860920,5860920,0,1190,1305,15
th135,ichirin1.ogg,時代親父とハイカラ少女,2.0073469387755103,107.340589569161,114.51054421768707,5049915,5049915,0,1135,673,190
th135,hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,14.192789115646258,139.64721088435374,144.01569160997732,6351092,6351092,0,5163,-478,61
th135,futo1.ogg,大神神話伝,4.6092743764172335,126.79120181405895,133.42448979591836,5884020,5884020,0,1030,-1017,46
th135,miko1.ogg,聖徳伝説　～ True Administrator,38.043786848072564,156.64836734693878,163.25061224489795,7199352,7199352,0,1553,-27,309
th135,nitori1.ogg,芥川龍之介の河童　～ Candid Friend,10.798798185941044,122.10619047619048,128.7994784580499,5680057,5680057,0,181,569,51
th135,koishi1.ogg,ハルトマンの妖怪少女,5.786575963718821,123.69226757369614,128.18197278911563,5652825,5652825,0,2427,-1002,145
th135,mamizou1.ogg,佐渡の二ッ岩,5.061133786848073,125.06566893424036,132.1326530612245,5827050,5827050,0,1091,256,603
th135,chuboss1.ogg,幻想郷の二ッ岩,14.097210884353741,127.66918367346939,135.11473922902493,5958560,5958560,0,92,-28,8
th135,kokoro1.ogg,亡失のエモーション,11.466507936507936,262.1674603174603,269.44435374149657,11882496,11882496,0,762,215,21
th135,op.ogg,塵界不変のペシミズム,,,47.31469387755102,2086578,2086578,0,,,
th135,title.ogg,心綺楼囃子,4.493061224489796,100.49310657596372,106.16768707482993,4681995,4681995,0,4409,-1770,58
th135,kaiwa1.ogg,人気のある場所,2.7424489795918365,66.7424716553288,73.84965986394558,3256770,3256770,0,1284,-16,78
th135,kaiwa3.ogg,人気のない場所,2.8344444444444443,66.83439909297053,73.89693877551021,3258855,3258855,0,2181,1833,161
th135,kaiwa5.ogg,丑三つ時の里,9.111519274376418,60.02056689342404,65.10408163265306,2871090,2871090,0,231,-1769,65
th135,win.ogg,本日の一面記事,10.011746031746032,31.344784580498867,36.96360544217687,1646693,1646693,16598,65,287,161
th135,ed.ogg,暁雲,3.466145124716553,75.46614512471655,82.45519274376417,3636274,3636274,0,1751,-1142,12
th135,staffroll.ogg,官板黄昏新聞,,,71.8190022675737,3167218,3167218,0,,,
th135,charasel.ogg,演者選択,7.444875283446712,80.4884126984127,86.1924716553288,3801088,3801088,0,1765,1003,23
th135,maxwaza.ogg,ラストワード発動,3.8456462585034012,45.70607709750567,51.095124716553286,2253295,2253295,0,124,508,37
th135,reimu2.ogg,人気爆発／博麗霊夢,,,21.497369614512472,948034,948034,0,,,
th135,marisa2.ogg,人気爆発／霧雨魔理沙,,,21.49877551020408,948096,948096,0,,,
th135,ichirin2.ogg,人気爆発／雲居一輪＆雲山,,,21.499387755102042,948123,948123,0,,,
th135,hijiri2.ogg,人気爆発／聖白蓮,,,21.49907029478458,948109,948109,0,,,
th135,futo2.ogg,人気爆発／物部布都,,,21.49904761904762,948108,948108,0,,,
th135,miko2.ogg,人気爆発／豊聡耳神子,,,21.499002267573697,948106,948106,0,,,
th135,nitori2.ogg,人気爆発／河城にとり,,,21.499297052154194,948119,948119,0,,,
th135,koishi2.ogg,人気爆発／古明地こいし,,,21.49825396825397,948073,948073,0,,,
th135,mamizou2.ogg,人気爆発／二ッ岩マミゾウ,,,21.498662131519275,948091,948091,0,,,
th135,kokoro2.ogg,人気爆発／秦こころ,,,21.49875283446712,948095,948095,0,,,
th135,kaiwa4.ogg,(名称未確定),5.17015873015873,26.50392290249433,31.74,1399734,1399734,0,715,1841,80
th135,staffroll2.ogg,心綺楼囃子 (Short Version),,,80.37684807256235,3544619,3544619,0,,,
th145,reimu1.ogg,二色蓮花蝶　～ Red and White,5.3474376417233564,138.6807709750567,145.39006802721087,6411702,6411702,0,3224,-1051,81
th145,marisa1.ogg,恋色マスタースパーク,13.704716553287982,154.88120181405895,169.4355328798186,7472107,7472107,0,13686,-141,73
th145,ichirin1.ogg,時代親父とハイカラ少女,3.6003401360544216,124.1992290249433,129.146485260771,5695360,5695360,0,1629,-911,54
th145,hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,18.684580498866215,149.35052154195012,153.28027210884355,6759660,6759660,0,6450,1339,138
th145,futo1.ogg,大神神話伝,4.916938775510204,143.37775510204082,152.32290249433106,6717440,6717440,0,1295,-1366,2
th145,miko1.ogg,聖徳伝説　～ True Administrator,24.08707482993197,161.8648299319728,168.88290249433106,7447736,7447736,0,3408,-1241,258
th145,nitori1.ogg,芥川龍之介の河童　～ Candid Friend,1.8317006802721087,133.56124716553288,138.0219501133787,6086768,6086768,0,2348,-1140,55
th145,koishi1.ogg,ハルトマンの妖怪少女,2.2977551020408162,121.0732426303855,128.45696145124717,5664952,5664952,0,18467,1917,2753
th145,mamizou1.ogg,幻想郷の二ッ岩,2.398140589569161,113.61764172335602,119.68725623582766,5278208,5278208,0,9245,-1796,74
th145,kokoro1.ogg,亡失のエモーション,13.74705215419501,238.6613605442177,245.87054421768707,10842891,10842891,0,2300,1982,209
th145,mokou1.ogg,月まで届け、不死の煙,10.501655328798186,175.07308390022675,180.4300680272109,7956966,7956966,0,3963,573,473
th145,sinmyoumaru1.ogg,輝く針の小人族　～ Little Princess,16.890181405895692,149.6992970521542,159.86555555555555,7050071,7050071,0,6012,-2044,158
th145,title.ogg,心揺さぶる都市伝説,5.328911564625851,95.32891156462586,97.61963718820861,4305026,4305026,0,4338,-1987,167
th145,select.ogg,幻想郷ふしぎ発見,5.87328798185941,51.09077097505669,54.785600907029476,2416045,2416045,0,1670,425,204
th145,ta02.ogg,ボールのある日常,13.11390022675737,65.47757369614513,69.20875283446712,3052106,3052106,0,1279,-463,74
th145,ta01.ogg,顕現した伝承の形,8.01532879818594,72.01532879818595,75.7565306122449,3340863,3340863,0,3008,-1286,70
th145,ta04.ogg,時代の風の訪れ,4.775124716553288,52.774897959183676,56.795419501133786,2504678,2504678,0,5326,-1239,34
th145,ta03.ogg,価値がわからない,2.1146938775510202,59.71469387755102,63.52126984126984,2801288,2801288,0,2480,628,113
th145,ta06.ogg,可能性を信じて,7.4208616780045356,74.92090702947846,81.81095238095239,3607863,3607863,0,1041,-936,42
th145,ta05.ogg,真実を知る者,12.274467120181406,71.05,73.46950113378685,3240005,3240005,0,3184,-892,161
th145,ta07.ogg,外界フォークロア,3.4613378684807254,61.746984126984124,68.5875283446712,3024710,3024710,0,232,434,84
th145,ed.ogg,各々の結末,6.834149659863946,63.38832199546485,68.8325850340136,3035517,3035517,0,498,402,103
th145,staffroll.ogg,明かされる深秘,,,85.42117913832199,3767074,3767074,0,,,
th145,st02_1.ogg,オカルトアラカルト,8.2781179138322,108.39235827664399,113.22054421768708,4993026,4993026,0,6233,438,587
th145,st01_1.ogg,七玉蒐集ショウダウン,7.120249433106576,118.85947845804989,132.8755782312925,5859813,5859813,0,5770,-863,116
th145,st03_1.ogg,公正なる奪い合い,11.882789115646258,102.25419501133787,108.16167800453515,4769930,4769930,0,2777,1713,20
th145,st04_1.ogg,対蹠地の鐘,14.581133786848072,110.23342403628118,115.4358276643991,5090720,5090720,0,348,1888,46
th145,st05_1.ogg,竹林インフレイム,10.009002267573695,106.00891156462585,111.8219954648526,4931350,4931350,0,1197,-1427,326
th145,kasen1.ogg,華狭間のバトルフィールド,5.648004535147392,152.4715873015873,158.1169387755102,6972957,6972957,0,8569,1051,228
th145,usami1.ogg,ラストオカルティズム　～ 現し世の秘術師,17.140068027210884,246.44544217687076,263.5560770975057,11622823,11622823,0,1067,-184,94
th155,155reimu1.ogg,二色蓮花蝶　～ Red and White,5.3474376417233564,138.6807709750567,145.39006802721087,6411702,6411702,0,3224,-1051,81
th155,155marisa1.ogg,恋色マスタースパーク,13.704716553287982,154.88120181405895,169.4355328798186,7472107,7472107,0,13686,-141,73
th155,155ichirin1.ogg,時代親父とハイカラ少女,3.6003401360544216,124.1992290249433,129.146485260771,5695360,5695360,0,1629,-911,54
th155,155hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,18.684580498866215,149.35052154195012,153.28027210884355,6759660,6759660,0,6450,1339,138
th155,155futo1.ogg,大神神話伝,4.916938775510204,143.37775510204082,152.32290249433106,6717440,6717440,0,1295,-1366,2
th155,155miko1.ogg,聖徳伝説　～ True Administrator,24.08707482993197,161.8648299319728,168.88290249433106,7447736,7447736,0,3408,-1241,258
th155,155nitori1.ogg,芥川龍之介の河童　～ Candid Friend,1.8317006802721087,133.56124716553288,138.0219501133787,6086768,6086768,0,2348,-1140,55
th155,155koishi1.ogg,ハルトマンの妖怪少女,2.2977551020408162,121.0732426303855,128.45696145124717,5664952,5664952,0,18467,1917,2753
th155,155mamizou1.ogg,幻想郷の二ッ岩,2.398140589569161,113.61764172335602,119.68725623582766,5278208,5278208,0,9245,-1796,74
th155,155kokoro1.ogg,亡失のエモーション,13.728956916099774,238.6417006802721,242.96950113378685,10714955,10714955,0,453,-1412,62
th155,155mokou1.ogg,月まで届け、不死の煙,10.501655328798186,175.07308390022675,180.4300680272109,7956966,7956966,0,3963,573,473
th155,155sinmyoumaru1.ogg,輝く針の小人族　～ Little Princess,5.413174603174603,140.76204081632653,149.53637188208617,6594554,6594554,0,610,-896,41
th155,155kasen1.ogg,華狭間のバトルフィールド,13.15267573696145,141.50049886621315,151.609410430839,6685975,6685975,0,6015,-218,65
th155,155usami1.ogg,ラストオカルティズム　～ 現し世の秘術師,11.369886621315192,135.15938775510205,139.9467120181406,6171650,6171650,0,1944,-979,207
th155,155udonge1.ogg,狂気の瞳　～ Invisible Full Moon,34.695351473922905,154.69614512471657,165.34909297052155,7291895,7291895,0,1304,-363,34
th155,155doremy1.ogg,永遠の春夢,20.000839002267572,183.0777551020408,190.6746485260771,8408752,8408752,0,22133,11,2409
th155,155tenshi1.ogg,有頂天変　～ Wonderful Heaven,3.7525850340136055,165.7615873015873,168.00312925170067,7408932,7408932,-6,3364,522,108
th155,155yukari1.ogg,夜が降りてくる　～ Evening Star,5.4465079365079365,132.04115646258504,138.4648752834467,6131145,6131145,24844,3278,1021,194
th155,bgst01.ogg,地の色は黄色　～ Primrose,8.416371882086167,95.08315192743764,106.73448979591836,4706991,4706991,0,894,1769,132
th155,bgst02.ogg,マッシュルーム・ワルツ,9.860929705215419,106.66145124716553,114.16451247165533,5034655,5034655,0,506,145,272
th155,bgst03.ogg,聖輦船空を往く,9.002743764172335,107.37478458049887,115.12489795918367,5077008,5077008,0,1975,573,67
th155,bgst04.ogg,法力の下の平等,6.3966666666666665,99.12433106575963,110.92106575963719,4891619,4891619,0,2090,-520,52
th155,bgst05.ogg,恒常不変の参廟祀,12.180975056689343,102.18088435374149,109.4832879818594,4828213,4828213,0,2935,-1626,77
th155,bgst06.ogg,光輝く天球儀,11.488253968253968,95.17251700680272,102.84952380952382,4535696,4535696,32,337,-352,188
th155,bgst07.ogg,沢の河童の技術力,4.251859410430839,94.6867120181406,108.16240362811791,4769962,4769962,0,564,-1082,84
th155,bgst08.ogg,地底に咲く薔薇,7.779115646258504,98.74687074829932,106.46326530612245,4695030,4695030,0,440,-1188,59
th155,bgst09.ogg,深緑の狸森にて,7.724353741496599,100.76791383219954,114.68047619047618,5057409,5057409,0,1926,865,148
th155,bgst10.ogg,心綺楼演舞,3.5672108843537416,93.1125850340136,104.2314739229025,4596608,4596608,0,198,1997,109
th155,bgst11.ogg,不滅のレッドソウル,15.579365079365079,111.57925170068027,116.80569160997733,5151160,5151160,29,1377,-936,126
th155,bgst12.ogg,落日に映える逆さ城,3.685124716553288,94.9091156462585,104.899410430839,4626064,4626064,0,5364,-529,228
th155,bgst13.ogg,千の試練を超えて,26.01716553287982,116.82789115646258,123.49079365079365,5445944,5445944,0,369,-1485,60
th155,bgst14.ogg,夢世界フォークロア,10.82390022675737,111.3643537414966,123.92421768707483,5465058,5465058,0,2570,1223,100
th155,bgst15.ogg,永遠に続く回廊,17.513764172335602,107.5137641723356,110.0078231292517,4851345,4851345,0,2051,-1235,92
th155,bgst16.ogg,スリープシープパレード,1.7538095238095237,90.44954648526077,106.09489795918367,4678785,4678785,0,3999,-1437,24
th155,bgst17.ogg,至る有頂天,13.042834467120182,103.47768707482993,111.31204081632653,4908861,4908861,0,180,-1492,151
th155,midboss.ogg,憑坐は夢と現の間に　～ Necro-Fantasia,11.704081632653061,148.4430612244898,158.73031746031745,7000007,7000007,0,2088,488,1584
th155,lastboss.ogg,今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.,17.070725623582767,250.5194784580499,258.2657142857143,11389518,11389518,0,3886,149,105
th155,145st01.ogg,オカルトアトラクト,5.528140589569161,105.64274376417234,116.25136054421769,5126685,5126685,0,1775,-1406,179
th155,145st02.ogg,ネオ竹林インフレイム,2.6418820861678003,94.51691609977324,107.62480725623583,4746254,4746254,0,2877,-2017,171
th155,145st03.ogg,億万劫の鐘,5.4937414965986395,105.49360544217687,123.7539455782313,5457549,5457549,0,3070,917,388
th155,145st04.ogg,アンノウンX　～ Occultly Madness,43.63947845804989,197.73054421768708,208.637641723356,9200920,9200920,0,5956,-1460,430
th155,story01.ogg,憑依投合,4.717052154195011,65.89349206349206,71.19453514739229,3139679,3139679,0,16394,214,174
th155,story02.ogg,連帯責人,8.693764172335602,72.4437641723356,82.73612244897959,3648663,3648663,0,2308,1259,47
th155,story03.ogg,合縁奇縁,3.0041950113378686,65.40419501133786,73.21024943310658,3228572,3228572,0,2252,1322,108
th155,story04.ogg,異心同体,1.8852607709750566,65.63526077097505,71.88845804988662,3170281,3170281,0,126,-1781,23
th155,story05.ogg,壮言大語,3.614557823129252,66.0145351473923,82.81575963718821,3652175,3652175,0,885,1007,163
th155,story06.ogg,知略縦横,4.351678004535147,67.35163265306123,70.80192743764172,3122365,3122365,0,1027,134,77
th155,story07.ogg,意気揚々,4.343242630385488,72.3431746031746,74.77832199546485,3297724,3297724,0,1224,-283,131
